"서울시민업종코드(UPJONG_CD)","기준년월(YM)","시간대구간(TIME)","고객주소블록코드(BLOCK_CD)","카드이용금액계(AMT_CORR)","소액결제건수(MICRO_PYM)"
"SS017","202006","06","11063",257,25
"SS013","201608","06","216137",86,10
"SS016","201802","03","224819",35,15
"SS055","201906","02","19869",10,0
"SS038","201612","05","28382",10,5
"SS043","201606","01","362903",20,35
"SS054","202101","06","17521",10,25
"SS054","202011","02","152539",75,5
"SS006","201608","02","157228",10,10
"SS008","202102","06","16708",15,5
"SS032","202005","05","216213",5,5
"SS056","201807","02","217357",15,5
"SS005","201810","05","232922",15,10
"SS001","201701","01","200247",10,10
"SS005","201903","03","127432",5,0
"SS006","201907","06","179016",121,0
"SS002","201911","06","230309",5,70
"SS062","202002","04","10186",10,55
"SS054","201606","02","282881",25,91
"SS019","201604","04","226161",5,20
"SS001","201903","03","17341",10,5
"SS013","201902","05","361316",5,10
"SS006","202101","06","9772",65,10
"SS015","201805","04","229676",5,55
"SS045","202008","03","413323",5,10
"SS015","201912","05","231855",15,5
"SS019","201912","06","414363",80,10
"SS018","202003","04","26129",20,5
"SS060","201704","02","207294",5,5
"SS024","202003","02","21414",201,20
"SS021","201901","03","210784",10,15
"SS070","201606","01","263858",5,0
"SS067","201902","05","207154",5,0
"SS016","201701","02","214881",5,5
"SS019","201605","03","32888",40,357
"SS001","201609","02","153397",20,20
"SS070","201712","03","15186",15,0
"SS006","201605","03","157155",35,0
"SS033","201901","05","218023",5,50
"SS006","201607","01","213850",25,65
"SS020","201811","05","20979",5,15
"SS081","201705","02","33863",10,15
"SS016","201708","05","208178",5,15
"SS068","202107","01","14970",55,0
"SS004","201812","04","220404",5,0
"SS017","202012","03","219861",10,0
"SS021","202103","06","353703",20,15
"SS031","201903","05","9467",20,0
"SS003","201707","02","214661",10,0
"SS034","201809","05","27657",5,402
"SS055","202009","04","502754",5,0
"SS053","201609","03","14128",25,5
"SS053","202107","03","222577",15,15
"SS006","201610","05","20891",5,35
"SS040","201703","03","24320",121,5
"SS019","201910","03","197734",5,10
"SS048","201602","03","221130",186,10
"SS083","201803","05","227876",10,40
"SS068","201709","05","13028",55,0
"SS064","201806","03","225250",45,20
"SS048","201709","04","409278",5,20
"SS005","201703","05","408345",35,5
"SS067","201703","04","152585",20,10
"SS081","201801","04","153034",25,0
"SS012","201810","03","9105",10,25
"SS016","201612","03","208031",10,0
"SS019","201708","03","153112",15,86
"SS040","201710","03","221423",166,156
"SS001","201901","05","330242",15,292
"SS069","202101","04","18676",5,10
"SS070","201910","01","421562",5,70
"SS038","201808","05","360887",5,10
"SS013","202101","05","25882",5,5
"SS052","201805","05","411679",5,35
"SS047","201901","06","211408",5,5
"SS081","202006","03","20327",5,65
"SS066","201603","04","211298",5,5
"SS069","201901","06","229221",10,10
"SS016","202009","05","348266",5,0
"SS007","202107","02","361684",20,5
"SS002","201902","06","207405",5,60
"SS055","201708","05","154348",402,5
"SS033","201905","04","283164",5,0
"SS041","202011","02","61789",206,55
"SS020","202107","02","214516",101,5
"SS048","201808","02","354591",10,15
"SS006","201912","02","365895",10,0
"SS003","201703","03","28101",5,0
"SS066","201904","04","24481",5,0
"SS067","202002","05","221716",30,0
"SS004","201601","03","19212",5,20
"SS049","201805","06","23965",111,0
"SS048","201904","04","206665",322,55
"SS019","202012","06","499436",5,5
"SS048","201812","03","351453",25,0
"SS021","201901","06","421462",10,5
"SS056","201905","05","219629",5,5
"SS020","202009","04","210784",5,10
"SS055","202104","05","157904",55,5
"SS020","201812","06","216411",10,0
"SS008","201609","05","158384",15,70
"SS030","202101","05","342225",15,15
"SS013","202009","02","223132",55,25
"SS060","201911","06","206419",40,30
"SS017","201903","06","10651",20,55
"SS017","202009","01","148754",106,5
"SS013","201808","01","339845",573,10
"SS019","201611","02","342032",10,0
"SS053","201807","01","120090",20,0
"SS001","201812","06","156445",10,45
"SS019","202005","03","225546",5,5
"SS006","202008","05","277507",25,55
"SS016","202011","02","219110",30,0
"SS067","201606","05","226443",30,5
"SS017","201601","06","204110",5,5
"SS055","201708","05","218258",5,25
"SS022","201803","05","349038",45,5
"SS008","201912","05","421697",10,0
"SS056","201602","02","209696",246,5
"SS005","201804","04","366709",20,30
"SS068","201607","02","415750",5,5
"SS054","201604","06","415314",15,25
"SS016","202005","05","223311",10,20
"SS005","201603","01","12912",5,20
"SS067","201605","05","502813",372,25
"SS068","201811","02","226651",5,25
"SS020","201902","03","422985",5,30
"SS068","201702","04","222369",60,0
"SS058","201612","05","180637",75,5
"SS006","201912","02","12814",10,5
"SS004","201903","04","166669",196,0
"SS065","201606","06","229186",106,5
"SS015","202006","03","64087",166,0
"SS004","201707","03","13982",191,5
"SS040","201904","02","32172",15,5
"SS013","201603","06","420699",10,35
"SS048","201712","02","219289",5,25
"SS048","202010","02","11067",25,40
"SS068","201708","03","230880",5,0
"SS030","201911","04","230407",196,5
"SS053","201911","03","282245",50,362
"SS055","202103","03","15332",10,0
"SS012","201808","06","224580",5,5
"SS046","201911","02","152867",86,5
"SS046","201603","02","349547",5,181
"SS062","201805","05","232000",20,5
"SS044","201803","02","332107",30,5
"SS050","202104","04","227521",5,0
"SS048","202005","03","223632",91,15
"SS004","201904","03","218165",25,20
"SS030","201608","05","229707",15,5
"SS028","202001","02","413018",15,0
"SS016","202104","04","213692",70,35
"SS056","201809","05","19269",5,5
"SS047","202103","01","207033",10,25
"SS001","202003","04","222868",5,221
"SS016","201610","06","12445",15,0
"SS049","202101","03","210509",40,0
"SS070","201609","02","366772",5,15
"SS004","202010","05","422018",5,70
"SS048","201805","03","194278",40,45
"SS032","201901","05","416485",5,0
"SS018","201702","03","210495",5,5
"SS013","201608","05","226303",196,5
"SS058","201904","04","210123",5,0
"SS016","202005","05","231679",5,30
"SS033","201609","04","217914",86,0
"SS020","201608","04","211709",5,201
"SS081","201612","06","153082",15,25
"SS003","201905","04","278928",10,5
"SS030","201701","06","208842",5,0
"SS021","201911","03","19692",5,45
"SS016","201910","04","209210",55,40
"SS058","201906","03","154905",40,10
"SS058","201603","01","219892",5,25
"SS058","201604","05","12551",25,60
"SS055","201805","06","32427",70,15
"SS055","201802","04","223570",10,0
"SS066","201610","02","219597",5,45
"SS018","202105","04","9336",10,70
"SS030","201611","06","273072",10,0
"SS066","202107","03","499426",10,0
"SS001","201812","04","361911",15,25
"SS004","202012","02","120153",96,25
"SS007","201901","02","279780",5,5
"SS021","201702","04","214757",5,35
"SS017","201701","05","210501",5,10
"SS046","202004","04","416778",15,10
"SS013","201903","02","416633",15,30
"SS046","202101","04","280589",25,5
"SS024","202001","05","17619",5,5
"SS067","201908","04","216127",80,0
"SS007","201608","04","11394",35,10
"SS008","201701","02","421579",30,5
"SS035","201802","01","14602",5,91
"SS030","202002","06","218537",20,5
"SS030","201807","02","228332",5,15
"SS049","202102","05","282243",5,15
"SS030","202106","04","224185",40,141
"SS046","201910","03","152962",35,0
"SS069","201611","05","421912",5,0
"SS042","201910","04","419456",5,15
"SS052","201708","06","232803",5,5
"SS046","201801","02","221894",5,0
"SS005","201707","03","413157",60,5
"SS032","201903","03","23316",5,5
"SS024","202002","05","15417",10,106
"SS041","201607","02","21872",15,5
"SS048","202103","04","224844",25,0
"SS070","201612","03","217404",5,5
"SS039","201603","04","416716",5,15
"SS066","202104","05","19948",40,20
"SS004","201907","02","225286",75,91
"SS020","201903","02","412921",15,0
"SS045","202103","01","228051",5,20
"SS066","201701","04","223284",5,307
"SS066","201611","04","281004",20,15
"SS013","201603","06","344250",10,0
"SS017","202005","02","197586",15,257
"SS062","202012","04","363596",10,5
"SS018","201611","02","155973",5,0
"SS049","201908","02","10360",55,10
"SS047","201803","04","155587",15,5
"SS066","201604","04","23778",5,15
"SS013","201907","03","20121",5,10
"SS034","201707","03","417217",15,5
"SS019","201808","04","10792",30,5
"SS005","201810","04","152242",10,5
"SS054","201807","05","220333",15,0
"SS057","201705","03","152365",5,0
"SS045","201910","05","412474",5,0
"SS056","201911","04","226607",30,60
"SS069","201608","04","22061",131,40
"SS033","201902","05","411324",5,20
"SS008","201905","04","219289",35,0
"SS060","201905","05","206801",10,5
"SS049","201808","02","175403",5,35
"SS019","201705","05","364714",5,5
"SS001","201602","06","151968",5,35
"SS053","201903","05","157989",5,70
"SS064","201711","04","363995",151,30
"SS068","202010","02","337206",5,5
"SS049","201810","01","19311",30,35
"SS049","201711","04","154441",5,0
"SS006","202104","03","13245",10,10
"SS066","201610","01","228316",5,126
"SS004","201812","03","156429",50,10
"SS016","202011","06","361804",5,0
"SS041","201708","03","23865",25,20
"SS048","202002","06","168771",5,141
"SS044","202105","04","418486",25,0
"SS008","202010","05","209200",5,10
"SS082","202011","05","201319",20,35
"SS093","201604","04","156699",302,5
"SS053","201612","03","216024",231,176
"SS054","201711","05","360750",15,50
"SS007","201603","05","413323",45,0
"SS043","202101","05","351396",10,15
"SS044","201702","03","229943",126,5
"SS033","202006","01","365309",10,20
"SS046","201912","02","218798",5,20
"SS082","201707","04","213071",45,15
"SS045","201810","06","210343",60,5
"SS012","202012","05","153254",50,0
"SS017","201708","02","217326",55,0
"SS008","201603","03","219256",5,5
"SS031","202101","03","230850",10,5
"SS065","202006","02","347666",15,0
"SS005","201909","04","8529",70,0
"SS020","201809","04","419077",151,5
"SS030","201808","03","33140",15,5
"SS008","201904","05","353297",15,0
"SS043","201810","04","14037",5,10
"SS003","201805","04","232571",201,5
"SS068","201803","02","412634",45,0
"SS006","201805","04","332243",80,45
"SS059","201608","02","271102",5,35
"SS005","202103","05","13136",30,0
"SS045","201710","04","199267",5,35
"SS030","201812","04","168828",65,20
"SS045","201905","04","223206",25,10
"SS024","201905","03","207018",5,0
"SS053","201710","02","365216",35,10
"SS013","202106","04","232830",80,5
"SS001","202106","02","16138",5,20
"SS066","201910","03","229345",5,0
"SS021","201707","02","280252",5,50
"SS055","201906","01","210934",5,15
"SS036","201806","05","408888",397,5
"SS005","201607","03","414482",25,5
"SS005","201608","05","229668",136,5
"SS041","201903","04","21888",60,70
"SS068","201806","04","226937",5,10
"SS024","201811","06","219830",35,10
"SS019","202107","02","18072",15,10
"SS047","201908","01","283229",10,10
"SS048","201806","06","361962",15,0
"SS040","201911","04","34559",5,0
"SS069","201704","01","208696",30,0
"SS055","202101","05","152506",15,5
"SS046","201805","06","363821",35,0
"SS069","201905","05","18211",80,5
"SS066","201709","05","410687",282,0
"SS040","201801","06","156624",35,5
"SS008","201705","06","414044",15,10
"SS043","201810","06","225348",96,5
"SS003","201906","02","210447",5,15
"SS016","201611","05","107009",10,80
"SS001","202008","03","362321",70,10
"SS069","201801","05","207933",392,5
"SS048","202105","03","222349",10,10
"SS069","201808","03","26153",10,86
"SS056","201711","05","365817",5,0
"SS017","201809","06","215354",40,30
"SS055","201901","02","421392",5,0
"SS064","201801","05","227968",15,5
"SS068","201909","04","216553",5,0
"SS030","202101","03","231287",10,60
"SS055","201702","04","231674",10,5
"SS055","202009","04","316854",5,0
"SS004","202003","03","13641",5,226
"SS048","202105","02","352489",30,25
"SS013","201810","05","415521",80,5
"SS016","201704","03","276391",45,25
"SS090","201603","04","229328",5,0
"SS003","201806","04","15484",10,15
"SS054","202009","03","227670",186,5
"SS008","201908","02","207907",30,0
"SS060","201705","06","278641",116,0
"SS007","201611","06","28557",287,25
"SS058","202007","04","363422",5,5
"SS093","201610","02","155913",30,483
"SS052","201912","06","221545",40,5
"SS019","201708","06","339941",10,80
"SS012","201801","05","230873",5,0
"SS062","201709","06","224245",211,10
"SS081","201706","05","24568",25,0
"SS040","201908","02","27268",10,5
"SS069","202005","02","22652",176,5
"SS008","201803","03","420425",30,10
"SS066","201803","04","31438",101,5
"SS031","202008","03","200866",30,0
"SS008","201606","03","116797",111,5
"SS016","201805","03","207290",221,5
"SS015","201911","03","413704",65,10
"SS034","201909","04","413504",45,0
"SS030","201910","04","11934",25,0
"SS060","201909","04","500680",5,70
"SS044","202101","05","158398",15,10
"SS058","201812","02","221054",20,20
"SS013","201901","04","19896",141,15
"SS014","202012","05","211996",10,0
"SS055","201702","04","153335",5,10
"SS016","201706","03","14076",5,10
"SS013","201710","02","228943",45,5
"SS056","201809","04","353278",252,5
"SS020","201809","05","412033",5,55
"SS014","202105","03","220999",5,0
"SS008","201606","06","414201",5,40
"SS057","201804","03","15364",5,30
"SS019","202105","03","211357",10,5
"SS066","201910","01","17429",60,5
"SS046","202007","06","34668",91,0
"SS081","201909","03","24295",15,0
"SS068","202106","03","421393",10,55
"SS068","201708","03","365108",20,96
"SS064","202011","05","221845",267,0
"SS001","201705","05","220724",5,0
"SS018","202103","04","412187",5,30
"SS007","201804","06","232036",10,65
"SS068","201610","03","229662",25,15
"SS066","202009","01","227000",5,35
"SS053","201604","06","343429",10,25
"SS053","202005","06","221103",5,35
"SS054","201907","04","32884",5,25
"SS014","201805","04","30855",10,5
"SS036","201908","03","208885",10,0
"SS041","201911","04","20229",5,10
"SS016","201812","02","14698",5,10
"SS005","201612","02","224186",5,10
"SS005","201902","05","229502",5,20
"SS001","202104","05","20501",15,25
"SS022","201707","03","152208",35,5
"SS069","201802","03","414978",40,30
"SS020","201709","02","216805",30,10
"SS005","201705","04","216874",30,30
"SS007","201706","02","217349",5,0
"SS048","201605","04","421280",55,10
"SS031","202010","05","24183",5,55
"SS006","201810","03","153222",30,0
"SS002","201801","04","21754",101,5
"SS046","201711","04","419420",25,10
"SS030","202107","04","219613",101,96
"SS048","201910","05","159696",5,5
"SS068","202005","02","219347",15,5
"SS046","202102","05","21419",10,40
"SS069","201612","03","350425",5,20
"SS016","202004","04","345917",5,0
"SS007","202009","02","276702",30,25
"SS054","201802","01","365845",10,20
"SS017","201902","02","214706",10,86
"SS006","201803","02","11511",5,116
"SS006","201712","03","22151",5,20
"SS068","201812","06","216958",5,30
"SS040","202007","04","13041",5,0
"SS012","201902","02","13877",10,20
"SS017","202004","04","9623",10,0
"SS012","202001","03","154067",111,0
"SS040","202101","04","17501",15,45
"SS066","201912","02","187128",5,10
"SS007","201812","05","221644",10,0
"SS004","201705","04","218626",5,166
"SS068","201902","03","219487",25,5
"SS069","201902","05","419597",5,20
"SS057","201601","03","152013",5,25
"SS058","201902","04","208468",30,20
"SS045","201804","04","9556",91,25
"SS068","202003","04","220056",65,5
"SS053","201601","04","157847",5,5
"SS066","201605","01","8651",35,20
"SS068","201903","04","228994",191,0
"SS040","201901","05","11135",25,0
"SS016","201812","06","8573",5,5
"SS012","201908","03","206417",15,5
"SS030","201711","03","360667",5,10
"SS055","201708","04","221615",5,10
"SS062","201606","04","210343",20,20
"SS001","202107","03","217416",91,80
"SS056","202107","03","418905",10,5
"SS069","201812","03","222525",15,25
"SS017","201903","03","146958",5,10
"SS040","201905","02","227653",30,0
"SS001","202001","03","211614",55,136
"SS041","201902","01","230056",35,5
"SS024","202101","04","245855",186,0
"SS083","202007","05","228142",15,0
"SS048","201601","01","14764",5,5
"SS054","201806","03","232262",181,0
"SS053","201605","03","361435",10,15
"SS012","201707","04","209862",126,30
"SS020","201909","04","225893",5,5
"SS021","202008","05","90214",25,5
"SS017","202105","03","155843",10,0
"SS008","201709","04","198065",60,15
"SS033","201805","04","17716",5,30
"SS044","201706","03","162180",538,15
"SS005","201806","03","154615",25,30
"SS062","202006","03","414892",362,5
"SS030","202012","05","416873",30,0
"SS006","201707","04","408216",30,5
"SS021","201707","05","411571",5,15
"SS002","202010","02","179330",10,40
"SS032","202012","01","24363",15,60
"SS030","201902","04","23133",5,10
"SS066","201709","05","214963",5,0
"SS040","202003","05","217177",5,15
"SS016","202107","03","210162",5,156
"SS007","201811","05","9152",5,30
"SS055","201610","01","230013",10,0
"SS006","202101","05","221922",5,15
"SS064","201807","04","269395",50,10
"SS068","201610","02","339958",166,0
"SS033","201807","06","355443",302,20
"SS066","202105","04","219930",15,20
"SS004","202010","03","218631",5,20
"SS048","201611","01","232149",5,5
"SS032","202010","03","232188",10,5
"SS016","202009","03","339082",15,35
"SS068","201603","04","15768",10,5
"SS008","202007","01","12199",106,15
"SS053","201809","03","156940",30,10
"SS083","202012","05","14174",10,0
"SS024","201707","05","13482",191,211
"SS056","201601","06","13894",30,5
"SS049","201601","05","223818",25,5
"SS055","201808","05","74631",65,0
"SS069","201704","01","343797",5,136
"SS033","201607","04","218551",30,70
"SS058","201910","03","216981",20,25
"SS068","201706","05","207956",10,20
"SS058","201808","06","23764",5,15
"SS020","202002","04","206853",121,40
"SS040","202105","04","9760",70,5
"SS016","201804","04","343814",10,161
"SS013","201708","01","366079",10,5
"SS066","201608","03","225651",5,0
"SS049","201807","03","365949",30,30
"SS044","201602","04","226435",10,5
"SS031","201711","04","226053",5,5
"SS069","202009","05","15953",5,20
"SS068","201806","01","364774",55,65
"SS003","201709","03","22044",5,5
"SS015","201701","01","15279",5,10
"SS044","202009","05","20378",10,45
"SS003","201602","04","210795",5,10
"SS017","201911","05","366735",5,5
"SS016","201803","02","155750",10,30
"SS081","202103","03","366426",5,5
"SS069","201707","03","214935",70,10
"SS069","201909","04","225316",30,5
